Name,CarLink,Time,PS,Weight_KG,Car_type,Year,Country_of_Origin,Engine_type,Displacement,Transmission,Engine_Layout,Drivetrain
Acura ARX-01b,https://fastestlaps.com/models/acura-arx-01b,70.1,558,825,Coupe,2008.0,Japan,V8 DOHC,3.4,6 speed Sequential,middle engine,rear wheel drive
Porsche RS Spyder (Evo),https://fastestlaps.com/models/porsche-rs-spyder,70.35,510,775,Coupe,2007.0,Germany,V8 DOHC,3.4,6 speed Sequential,middle engine,rear wheel drive
Acura ARX-01a,https://fastestlaps.com/models/acura-arx-01a,70.91,558,825,Coupe,2007.0,Germany,V8 DOHC,3.4,6 speed Sequential,middle engine,rear wheel drive
Audi R10 TDI,https://fastestlaps.com/models/audi-r10-tdi,71.17,659,925,Coupe,2006.0,Germany,V12 DOHC Twin Turbo,5.5,5 speed Sequential,middle engine,rear wheel drive
Porsche RS Spyder,https://fastestlaps.com/models/porsche-rs-spyder-n-a,74.03,487,775,Coupe,2005.0,Germany,V8 DOHC,3.0,6 speed Sequential,middle engine,rear wheel drive
Czinger 21C,https://fastestlaps.com/models/czinger-21c,85.45,1267,1250,Coupe,2020.0,United States,"DOHC twin-turbocharged V8, 3 electric motors",2.9,7-speed sequential automatic,middle engine,all wheel drive
McLaren Senna (P15),https://fastestlaps.com/models/mclaren-senna-p15,87.62,800,1364,Coupe,2018.0,United Kingdom,V8 DOHC Twin Turbo,4.0,7-speed daul clutch,middle engine,rear wheel drive
Porsche 911 GT2 RS (991),https://fastestlaps.com/models/porsche-911-gt2-rs-991,88.3,700,1515,Coupe,2017.0,Germany,twin-turbocharged flat-6,3.8,7 speed dual clutch automatic (PDK),rear engine,rear wheel drive
Pagani Huayra BC,https://fastestlaps.com/models/pagani-huayra-bc,88.5,800,1218,Coupe,2017.0,Italy,Mercedes-Benz AMG V12 60°,6.0,7-speed with electronic mechanical differential,middle engine,rear wheel drive
Dodge Viper ACR (Mk V),https://fastestlaps.com/models/dodge-viper-acr-mk-v,88.65,654,1539,Coupe,2016.0,United States,V10,8.4,Tremec TR6060 six-speed manual transmission,front engine,rear wheel drive
McLaren 765LT,https://fastestlaps.com/models/mclaren-765lt,89.23,765,1368,Coupe,2020.0,United Kingdom,V8 Twin Turbo,4.0,7 speed dual clutch automatic,middle engine,rear wheel drive
McLaren 720S,https://fastestlaps.com/models/mclaren-720s,89.78,720,1428,Coupe,2017.0,United Kingdom,twin-turbocharged V8,4.0,7 Speed SSG,middle engine,rear wheel drive
Porsche 918 Spyder,https://fastestlaps.com/models/porsche-918-spyder,89.89,887,1668,Convertible,2013.0,Germany,V8 gasoline engine and two electric motors,4.6,7-speed-PDK,middle engine,all wheel drive
Huracán Performante,https://fastestlaps.com/models/lamborghini-huracn-performante,90.0,640,1562,Coupe,2017.0,Italy,V10 DOHC,5.2,7 speed dual clutch automatic,middle engine,all wheel drive
McLaren P1,https://fastestlaps.com/models/mclaren-p1,90.12,916,1519,Coupe,2013.0,United Kingdom,"Twin Turbo V8, DOHC, dual VVT 32v + Electric motor (176 hp/260 Nm)",3.8,Paddle Operated 7 speed Automatic,middle engine,rear wheel drive
McLaren P1,https://fastestlaps.com/models/mclaren-p1,90.71,916,1519,Coupe,2013.0,United Kingdom,"Twin Turbo V8, DOHC, dual VVT 32v + Electric motor (176 hp/260 Nm)",3.8,Paddle Operated 7 speed Automatic,middle engine,rear wheel drive
Dodge Viper ACR (Mk V),https://fastestlaps.com/models/dodge-viper-acr-mk-v,91.58,654,1539,Coupe,2016.0,United States,V10,8.4,Tremec TR6060 six-speed manual transmission,front engine,rear wheel drive
Ferrari 488 GTB,https://fastestlaps.com/models/ferrari-488-gtb,91.68,670,1547,Coupe,2015.0,Italy,V8 twin turbo,3.9,7 speed automatic,middle engine,rear wheel drive
Ferrari F8 Tributo,https://fastestlaps.com/models/ferrari-f8-tributo,92.27,720,1522,Coupe,2019.0,Italy,twin turbo V8,3.9,7 speed dual clutch automatic,middle engine,rear wheel drive
Chevrolet Corvette ZR1,https://fastestlaps.com/models/chevrolet-corvette-zr1-n-a,92.46,765,1651,Coupe,2018.0,United States,V8 pushrod Supercharged,6.2,7 speed manual and 8 speed automatic,front engine,rear wheel drive
McLaren 600LT,https://fastestlaps.com/models/mclaren-600lt,92.7,600,1404,Coupe,2018.0,United Kingdom,twin-turbocharged V8,3.8,7 speed dual clutch automatic,middle engine,rear wheel drive
Lamborghini Huracán Evo,https://fastestlaps.com/models/lamborghini-huracn-evo,92.85,640,1619,Coupe,2019.0,Italy,Naturally aspirated V10,5.2,7 speed dual clutch automatic,middle engine,all wheel drive
Porsche 911 Turbo S (992),https://fastestlaps.com/models/porsche-911-turbo-s-992,92.97,650,1650,Coupe,2021.0,Germany,B6 twin turbo 24 valve DOHC,3.7,8 speed dual-clutch automatic (PDK),rear engine,all wheel drive
Mercedes-Benz AMG GT R,https://fastestlaps.com/models/mercedes-benz-amg-gt-r,93.01,585,1635,Coupe,2017.0,Germany,V8 Twin Turbo,4.0,7-speed SPEEDSHIFT (dual-clutch),front engine,rear wheel drive
Chevrolet Corvette Z06 (C7),https://fastestlaps.com/models/chevrolet-corvette-z06-c7,93.05,659,1611,Coupe,2015.0,United States,GM LT4 6.2L Supercharged,6.2,7 Speed Manual/8 Speed Automatic Paddle Shift,front engine,rear wheel drive
Porsche 911 GT3 RS 4.0 (997),https://fastestlaps.com/models/porsche-911-gt3-rs-4-0,93.1,500,1396,Coupe,2011.0,Germany,flat 6 n/a,4.0,6 speed maual,rear engine,rear wheel drive
Porsche 911 Turbo S,https://fastestlaps.com/models/porsche-911-turbo-s-991-facelift,93.21,580,1604,Coupe,2016.0,Germany,"Boxer 6, twin turbo",3.8,7 speed PDK,rear engine,all wheel drive
Porsche 911 GT3 RS (991),https://fastestlaps.com/models/porsche-911-gt3-rs-991,93.29,500,1466,Coupe,2015.0,Germany,flat-6,4.0,seven-speed PDK dual-clutch,rear engine,rear wheel drive
Porsche 911 GT3 RS (991),https://fastestlaps.com/models/porsche-911-gt3-rs-991,93.29,500,1466,Coupe,2015.0,Germany,flat-6,4.0,seven-speed PDK dual-clutch,rear engine,rear wheel drive
SRT Viper TA,https://fastestlaps.com/models/srt-viper-ta,93.62,649,1516,Coupe,2013.0,United States,OHV 20-valve V-10,8.4,6-Speed Tremec 6060,front engine,rear wheel drive
Chevrolet Corvette ZR1,https://fastestlaps.com/models/chevrolet-corvette-zr1,93.7,647,1526,Coupe,2008.0,United States,V-8 supercharged,6.2,6,front engine,rear wheel drive
Ford Mustang Shelby GT500,https://fastestlaps.com/models/ford-mustang-shelby-gt500-s550,93.81,771,1877,Coupe,2019.0,United States,Supercharged Predator V8,5.2,7-speed DCT,front engine,rear wheel drive
Dodge Viper SRT-10 ACR,https://fastestlaps.com/models/dodge-viper-srt-10-acr,93.92,608,1544,Coupe,2008.0,United States,"V-10, 2 valves per cylinder",8.4,6,front engine,rear wheel drive
SRT Viper GTS ,https://fastestlaps.com/models/srt-viper-gts,94.23,649,1560,Coupe,2013.0,United States,Naturally Aspirated V10,8.4,6-Speed Manual,front engine,rear wheel drive
Audi R8 V10 Plus (Mk II),https://fastestlaps.com/models/audi-r8-plus,94.23,610,1638,Coupe,2016.0,Germany,Direct injection V10,5.2,7-speed S-tronic,middle engine,all wheel drive
Camaro ZL1 1LE Package,https://fastestlaps.com/models/chevrolet-camaro-g6-zl1-1le,94.3,659,1747,Coupe,2018.0,United States,Supercharged LT4 V8,6.2,6-Speed Manual,front engine,rear wheel drive
Corvette Z06 Z07 Package,https://fastestlaps.com/models/chevrolet-corvette-z06-z07-package,94.43,512,1394,Coupe,2011.0,United States,LS7 V8,7.0,6,front engine,rear wheel drive
McLaren MP4-12C,https://fastestlaps.com/models/mclaren-mp4-12c,94.5,600,1458,Coupe,2010.0,United Kingdom,V8 twin turbo,3.8,7 speed dual clutch,middle engine,rear wheel drive
McLaren 570S,https://fastestlaps.com/models/mclaren-570s,94.58,570,1451,Coupe,2016.0,United Kingdom,V8 twin turbo,3.8,7 speed SSG,middle engine,rear wheel drive
SRT Viper,https://fastestlaps.com/models/srt-viper,94.63,649,1509,Coupe,2013.0,United States,Naturally Aspirated V10,8.4,6-Speed Manual,front engine,rear wheel drive
McLaren 570GT,https://fastestlaps.com/models/mclaren-570gt,94.87,570,1496,Coupe,2016.0,United Kingdom,Twin Turbo V8,3.8,7- speed Seamless Shift dual clutch Gearbox (SSG),middle engine,rear wheel drive
Nissan GT-R Nismo (R35),https://fastestlaps.com/models/nissan-gt-r-nismo,95.01,600,1746,Coupe,2015.0,Japan,tt v6,3.8,6 speed dual clutch,front engine,all wheel drive
SLS AMG Black Series,https://fastestlaps.com/models/mercedes-benz-sls-amg-black-series,95.03,631,1646,Coupe,2013.0,Germany,V8,6.2,7-speed-MCT,front engine,rear wheel drive
McLaren 620R,https://fastestlaps.com/models/mclaren-620r,95.19,620,1428,Coupe,2020.0,United Kingdom,V8 Twin Turbo,3.8,7 speed dual clutch automatic,middle engine,rear wheel drive
Mercedes-Benz AMG GT S,https://fastestlaps.com/models/mercedes-benz-amg-gts,95.3,510,1651,Coupe,2015.0,Germany,M178 TwinTurbo V8,4.0,7-Speed AMG SpeedShift MCT,front engine,rear wheel drive
Lamborghini Aventador LP700-4,https://fastestlaps.com/models/lamborghini-aventador-lp700-4,95.4,700,1761,Coupe,2011.0,Italy,"V12, 48 valve",6.5,7 speed ISR,middle engine,all wheel drive
Nissan GT-R Nismo (R35),https://fastestlaps.com/models/nissan-gt-r-nismo,95.51,600,1746,Coupe,2015.0,Japan,tt v6,3.8,6 speed dual clutch,front engine,all wheel drive
Porsche 911 Carrera S (992),https://fastestlaps.com/models/porsche-911-carrera-s-992,95.52,450,1553,Coupe,2019.0,Germany,"Flat 6, Biturbo, DI, DOHC, 24 valves, DVVT, VVL",3.0,8 speed dual-clutch automatic (PDK) or 7 speed manual,rear engine,rear wheel drive
Porsche 911 GT2 RS (997),https://fastestlaps.com/models/porsche-911-gt2-rs,95.56,620,1401,Coupe,2010.0,Germany,"Flat 6, twin turbo",3.6,6 speed manual,rear engine,rear wheel drive
Mercedes-Benz AMG GT S,https://fastestlaps.com/models/mercedes-benz-amg-gts,95.57,510,1651,Coupe,2015.0,Germany,M178 TwinTurbo V8,4.0,7-Speed AMG SpeedShift MCT,front engine,rear wheel drive
Porsche 911 Turbo S (991),https://fastestlaps.com/models/porsche-911-turbo-s-991,95.62,560,1593,Coupe,2013.0,Germany,"6-cylinder-boxer, biturbo",3.8,7-speed-PDK,rear engine,all wheel drive
Corvette  Grand Sport ,https://fastestlaps.com/models/chevrolet-corvette-grand-sport,95.62,466,1584,Coupe,2017.0,United States,LT1 V8,6.2,7-speed manual 8-speed auto,front engine,rear wheel drive
Ford Shelby Mustang GT350R,https://fastestlaps.com/models/ford-shelby-mustang-gt350r,96.11,533,1655,Coupe,2016.0,United States,Flat-Crank Naturally Aspirated V8,5.2,6-Speed Manual,front engine,rear wheel drive
Porsche 718 Cayman GT4,https://fastestlaps.com/models/porsche-cayman-gt4-718,96.14,420,1452,Coupe,2019.0,Germany,Naturally Aspirated flat-six,4.0,6-speed manual,middle engine,rear wheel drive
Ferrari 458 Italia,https://fastestlaps.com/models/ferrari-458-italia,96.22,570,1529,Coupe,2009.0,Italy,V8,4.5,7 speed dual clutch,middle engine,rear wheel drive
Mercedes-Benz AMG GT 63 S,https://fastestlaps.com/models/mercedes-benz-amg-gt-63-s,96.26,639,2112,4-door saloon,2019.0,Germany,"V8, Twin-turbo, DI, DOHC, 32 valves, DVVT",4.0,9 speed automatic,front engine,all wheel drive
Modified BMW M4,https://fastestlaps.com/models/bmw-m4,96.29,600,1724,Coupe,2014.0,Germany,"straight six, twin turbo",3.0,7speed DCT or 6 speed manual,front engine,rear wheel drive
Nissan GT-R (R35 530 PS),https://fastestlaps.com/models/nissan-gt-r-r35-530-ps,96.35,530,1760,Coupe,2011.0,Japan,V6 DOHC 24V twinturbo,3.8,6 speed dual clutch transaxle,front engine,all wheel drive
Honda NSX (Mk II),https://fastestlaps.com/models/acura-nsx-2016,96.36,581,1770,Coupe,2016.0,Japan,TwinTurbo V6,3.5,9-Speed DCT,middle engine,all wheel drive
Audi R8 GT (Mk I),https://fastestlaps.com/models/audi-r8-gt,96.39,560,1563,Coupe,2010.0,Germany,V10 n/a,5.2,6 speed R-tronic,middle engine,all wheel drive
Lexus LFA,https://fastestlaps.com/models/lexus-lfa,96.39,560,1611,Coupe,2010.0,Japan,V10,4.8,6 speed sequential,front engine,rear wheel drive
SRT Viper,https://fastestlaps.com/models/srt-viper,96.43,649,1509,Coupe,2013.0,United States,Naturally Aspirated V10,8.4,6-Speed Manual,front engine,rear wheel drive
Porsche 911 Carrera S,https://fastestlaps.com/models/porsche-911-carrera-s-991-facelift,96.44,420,1485,Coupe,2015.0,Germany,twin turbo Flat 6,3.0,7-speed manual or 7-speed dual clutch,rear engine,rear wheel drive
Nissan GT-R (R35 550 PS),https://fastestlaps.com/models/nissan-gt-r-r35-550-ps,96.63,550,1763,Coupe,2012.0,Japan,V6,3.8,6-Speed DCT,front engine,all wheel drive
Porsche 911 GT3 RS,https://fastestlaps.com/models/porsche-911-gt3-rs-997-997-facelift,96.77,450,1400,Coupe,2010.0,Germany,"B6, 24 valve",3.8,6 speed manual,rear engine,rear wheel drive
Ford Shelby Mustang GT350,https://fastestlaps.com/models/ford-shelby-mustang-gt350,96.83,533,1724,Coupe,2016.0,United States,Naturally Aspirated Flat Plane V8,5.2,6-Speed Manual,front engine,rear wheel drive
Jaguar XE SV Project 8,https://fastestlaps.com/models/jaguar-xe-sv-project-8,96.96,600,1801,4-door saloon,2017.0,United Kingdom,"V8, supercharged, DI, 32 valves, DOHC",5.0,8 speed automatic,front engine,all wheel drive
Nissan GT-R (R35 570PS),https://fastestlaps.com/models/nissan-gt-r-r35-565ps,97.08,570,1775,Coupe,2017.0,Japan,V6 DOHC Twin Turbo,3.8,6-Speed DCT,front engine,all wheel drive
Porsche Cayman GT4 (981),https://fastestlaps.com/models/porsche-cayman-gt4,97.43,385,1360,Coupe,2015.0,Germany,"Flat 6, 24 valve",3.8,Manual six-speed,middle engine,rear wheel drive
BMW M4 GTS,https://fastestlaps.com/models/bmw-m4-gts,97.66,500,1600,Coupe,2016.0,Germany,Inline 6 turbo,3.0,DCT,front engine,rear wheel drive
Camaro SS 1LE Package,https://fastestlaps.com/models/chevrolet-camaro-ss-1le,97.78,461,1703,Coupe,2016.0,United States,V8 LT1,6.2,6 speed manual/8 speed automatic,front engine,rear wheel drive
Porsche 911 Turbo,https://fastestlaps.com/models/porsche-911-turbo-997-facelift,97.8,500,1601,Coupe,2009.0,Germany,flat six turbo with direct injection,3.8,6speed manual or PDK,rear engine,all wheel drive
Chevrolet Camaro Z/28,https://fastestlaps.com/models/chevrolet-camaro-z-28-2013,97.82,507,1702,Coupe,2013.0,United States,V8 LS7,7.0,6-Speed Tremec,front engine,rear wheel drive
Chevrolet Corvette Stingray,https://fastestlaps.com/models/chevrolet-corvette-c8-stingray,97.83,502,1646,Coupe,2020.0,United States,Naturally Aspirated LT2 V8,6.2,8 Speed DCT,middle engine,rear wheel drive
Aston Martin DBS Superleggera ,https://fastestlaps.com/models/aston-martin-dbs-superleggera,98.27,725,1849,Coupe,2018.0,United Kingdom,"48 valve, twin-turbo, V12",5.2,Rear mid-mounted ZF 8-speed automatic,front engine,rear wheel drive
Chevrolet Corvette Stingray,https://fastestlaps.com/models/chevrolet-corvette-stingray-c7,98.28,461,1566,Coupe,2014.0,United States,LT1 V8,6.2,6-Speed Manual/7-Speed Manual,front engine,rear wheel drive
Aston Martin Vantage  (Mk II),https://fastestlaps.com/models/aston-martin-vantage,98.42,510,1713,Coupe,2018.0,United Kingdom,V8 DOHC Twin Turbo,4.0,8-speed ZF automatic,front engine,rear wheel drive
Ford Mustang GT PP2,https://fastestlaps.com/models/ford-mustang-gt-pp2,98.42,466,1735,Coupe,2018.0,United States,V8 DOHC n/a,5.0,"6 speed manual, 10-speed auto",front engine,rear wheel drive
Cadillac CTS-V (Mk III),https://fastestlaps.com/models/cadillac-cts-v-mk-iii,98.52,649,1879,4-door saloon,2014.0,United States,SuperCharged GM LT4 V8,6.2,8L90 8-Speed AutoMatic,front engine,rear wheel drive
Audi R8 V10 5.2 FSI Plus,https://fastestlaps.com/models/audi-r8-v10-5-2-fsi-plus,98.7,550,1651,Coupe,2013.0,Germany,"10 cylinders V 90°, Naturally-aspirated,  DOHC, 4 Valves per Cyl, FSI",5.2,7 Speed S-Tronic Automatic or Optional 6-Speed manual,middle engine,all wheel drive
Ford Mustang Shelby GT500,https://fastestlaps.com/models/ford-mustang-shelby-gt500-2013,98.7,659,1750,Coupe,2013.0,United States,V8 32V DOHC Supercharged (2.3l  TVS positive displacement blower),5.8,6 speed manual,front engine,rear wheel drive
Chevrolet Corvette ZR1,https://fastestlaps.com/models/chevrolet-corvette-zr1,98.7,647,1526,Coupe,2008.0,United States,V-8 supercharged,6.2,6,front engine,rear wheel drive
Jaguar F-Type SVR,https://fastestlaps.com/models/jaguar-f-type-svr,98.75,575,1814,Coupe,2016.0,United Kingdom,V8 Supercharged,5.0,8 speed automatic,front engine,all wheel drive
Mercedes-Benz SLS AMG,https://fastestlaps.com/models/mercedes-benz-sls-amg,98.82,571,1674,Coupe,2010.0,Germany,V8,6.2,7 speed dual clutch transaxle,front engine,rear wheel drive
C 63 AMG Coupe Black Series,https://fastestlaps.com/models/mercedes-benz-c-63-amg-coupe-black-series,98.9,517,1748,Coupe,2011.0,Germany,Naturally aspirated V8,6.2,7-MCT,front engine,rear wheel drive
Porsche 911 Carrera 4S (991),https://fastestlaps.com/models/porsche-911-carrera-4s-991,99.0,400,1514,Coupe,2012.0,Germany,"Boxer 6, n/a, DOHC, 24v",3.8,7 speed manual / 7 PDK,rear engine,all wheel drive
Chevrolet Camaro ZL1,https://fastestlaps.com/models/chevrolet-camaro-zl1-2012,99.18,588,1838,Coupe,2012.0,United States,LSA V8,6.2,6-Speed Manual,front engine,rear wheel drive
Porsche 911 Carrera S (991),https://fastestlaps.com/models/porsche-911-carrera-s-991,99.3,400,1459,Coupe,2011.0,Germany,flat6 24V n/a,3.8,7 speed PDK or 7 speed manual,rear engine,rear wheel drive
BMW M850i (G15),https://fastestlaps.com/models/bmw-m850i,99.4,530,1980,Coupe,2018.0,Germany,V8 twin turbo 32 valve DOHC,4.4,8 speed ZF 8HP,front engine,all wheel drive
Porsche 911 Carrera GTS,https://fastestlaps.com/models/porsche-911-carrera-gts-991-facelift,99.5,450,1514,Coupe,2016.0,Germany,Flat 6 twin turbo,3.0,7 speed dual-clutch automatic (PDK),rear engine,rear wheel drive
Ford Mustang Boss 302 LS,https://fastestlaps.com/models/ford-mustang-boss-302-ls,99.5,443,1652,Coupe,2012.0,United States,Naturally Aspirated V8,5.0,6-Speed Manual,front engine,rear wheel drive
