Name,CarLink,Time,PS,Weight_KG,Car_type,Year,Country_of_Origin,Engine_type,Displacement,Transmission,Engine_Layout,Drivetrain
Porsche 911 GT3 (997),https://fastestlaps.com/models/porsche-911-gt3,99.52,415,1435,Coupe,2006.0,Germany,"B6, 24 valve",3.6,6 speed manual,rear engine,rear wheel drive
Cadillac ATS-V Coupe,https://fastestlaps.com/models/cadillac-ats-v-coupe,99.65,470,1703,Coupe,2016.0,United States,TwinTurbo GM LF4 V6,3.6,6-Speed Manual/8-Speed Automatic,front engine,rear wheel drive
Alfa Romeo Giulia QV,https://fastestlaps.com/models/alfa-romeo-giulia-qv,99.68,510,1709,4-door saloon,2015.0,Italy,Twin Turbo V6,2.9,8-speed automatic or 6 speed manual,front engine,rear wheel drive
BMW M4,https://fastestlaps.com/models/bmw-m4,99.69,431,1605,Coupe,2014.0,Germany,"straight six, twin turbo",3.0,7speed DCT or 6 speed manual,front engine,rear wheel drive
Tesla Model 3 Performance,https://fastestlaps.com/models/tesla-model-3-performance-p3d,99.8,456,1853,4-door saloon,2018.0,United States,Dual Motor Electric,0.0,Single Speed,rear engine,all wheel drive
BMW M5 (F90),https://fastestlaps.com/models/bmw-m5-g30,99.81,600,1919,4-door saloon,2017.0,Germany,"V8, biturbo, DI, 32 valves, DOHC, Valvetronic",4.4,8 speed automatic,front engine,all wheel drive
Tesla Model 3 Performance,https://fastestlaps.com/models/tesla-model-3-performance,99.83,487,1846,4-door saloon,2018.0,United States,Electric motors,0.0,single speed,front engine,all wheel drive
Porsche 911 Turbo (997),https://fastestlaps.com/models/porsche-911-turbo,99.89,480,1618,Coupe,2006.0,Germany,twin turbo B6,3.6,6 speed,rear engine,all wheel drive
Audi TT RS Coupe (Mk III),https://fastestlaps.com/models/audi-tt-rs-coupe-2016,99.95,400,1482,Coupe,2016.0,Germany,5 Cylinder Turbo,2.5,7 Speed Dual Clutch,front engine,all wheel drive
Aston Martin DB11,https://fastestlaps.com/models/aston-martin-db11-n-a,100.05,608,1902,Coupe,2016.0,United Kingdom,twin-turbo V12,5.2,8-speed auto ZF,front engine,rear wheel drive
Porsche 911 Turbo S,https://fastestlaps.com/models/porsche-911-turbo-s-997,100.11,530,1591,Coupe,2010.0,Germany,flat six turbo with direct injection,3.8,7 speed PDK,rear engine,all wheel drive
Audi R8 V10 5.2 FSI (Mk I),https://fastestlaps.com/models/audi-r8-v10-5-2-fsi,100.2,525,1671,Coupe,2009.0,Germany,V10 40v DOHC FSI,5.2,6 speed manual or 6 speed R-Tronic,middle engine,all wheel drive
Porsche Cayenne Coupé Turbo,https://fastestlaps.com/models/porsche-cayenne-coup-turbo,100.27,550,2258,SUV/truck,2020.0,Germany,V8 twin turbo 32 valve DOHC,4.0,8 speed automatic,front engine,all wheel drive
Nissan GT-R (R35),https://fastestlaps.com/models/nissan-gt-r,100.45,480,1765,Coupe,2008.0,Japan,V6 twinturbo,3.8,6 speed double clutch,front engine,all wheel drive
Mercedes-Benz C 63 AMG S,https://fastestlaps.com/models/mercedes-benz-c-63-amg-s,100.5,510,1749,4-door saloon,2014.0,Germany,V8 Twin Turbo,4.0,7-Speed Automatic,front engine,rear wheel drive
BMW M6 (F13),https://fastestlaps.com/models/bmw-m6-f13,100.52,560,1899,Coupe,2012.0,Germany,"V8, DOHC, twin turbo (twin scrolls)",4.4,7 speed dct,front engine,rear wheel drive
Toyota Supra (Mk V 340 PS),https://fastestlaps.com/models/toyota-supra-a90,100.57,340,1522,Coupe,2019.0,Japan,inline 6 turbo,3.0,8 speed automatic (ZF),front engine,rear wheel drive
Aston Martin Vanquish,https://fastestlaps.com/models/aston-martin-vanquish,100.71,576,1767,Coupe,2014.0,United Kingdom,V12 48 valve DOHC,5.9,8 speed automatic,front engine,rear wheel drive
Audi R8 4.2 FSI Quattro (Mk I),https://fastestlaps.com/models/audi-r8-4-2-fsi-quattro,100.75,420,1604,Coupe,2006.0,Germany,V8,4.2,6 speed,middle engine,all wheel drive
Jaguar F-Type V8 S,https://fastestlaps.com/models/jaguar-f-type-v8-s,100.81,495,1768,Convertible,2013.0,United Kingdom,"Supercharged 90º V8, n/a, DOHC, 32v",5.0,QuickShift 8 speed automatic,front engine,rear wheel drive
BMW M2 Competition (F87),https://fastestlaps.com/models/bmw-m2-competition,100.83,410,1615,Coupe,2018.0,Germany,Twin Turbo I6,3.0,6-speed manual or 7-speed dual-clutch,front engine,rear wheel drive
Lamborghini Urus,https://fastestlaps.com/models/lamborghini-urus,100.9,650,2263,SUV/truck,2018.0,Italy,V8 Twin Turbo,4.0,8-speed ZF 8HP automatic,front engine,all wheel drive
Chevrolet Corvette Z06 (C6),https://fastestlaps.com/models/chevrolet-corvette-z06,100.9,512,1446,Coupe,2005.0,United States,"V8, 16v",7.0,6 speed manual,front engine,rear wheel drive
Ford Mustang Boss 302,https://fastestlaps.com/models/ford-mustang-boss-302,101.06,450,1650,Coupe,2011.0,United States,V8,5.0,6-Speed,front engine,rear wheel drive
Bentley Continental GT V8,https://fastestlaps.com/models/bentley-continental-gt-v8-n-a,101.21,550,2210,Coupe,2019.0,United Kingdom,V8 Twin Turbo,4.0,8 speed dual clutch automatic,front engine,all wheel drive
Porsche Cayman S (981),https://fastestlaps.com/models/porsche-cayman-s-981,101.26,325,1398,Coupe,2013.0,Germany,6-cylinder-boxer,3.4,"6-speed-manual, 7-speed-PDK",middle engine,rear wheel drive
Porsche Cayman S (981),https://fastestlaps.com/models/porsche-cayman-s-981,101.26,325,1398,Coupe,2013.0,Germany,6-cylinder-boxer,3.4,"6-speed-manual, 7-speed-PDK",middle engine,rear wheel drive
Porsche Cayman R (987),https://fastestlaps.com/models/porsche-cayman-r,101.64,330,1363,Coupe,2010.0,Germany,flat 6,3.4,7-speed PDK,middle engine,rear wheel drive
Aston Martin V12 Vantage S,https://fastestlaps.com/models/aston-martin-v12-vantage-s,101.77,573,1682,Coupe,2013.0,United Kingdom,"AM28 n/a 60º V12, DOHC, 48v",5.9,Sportshift III 7 speed sequential,front engine,rear wheel drive
Jaguar F-Type R Coupe,https://fastestlaps.com/models/jaguar-f-type-r-coupe,102.0,550,1665,Coupe,2014.0,United Kingdom,Supercharged V8,5.0,8-speed Quick Shift,front engine,rear wheel drive
E 63 AMG S T-Modell,https://fastestlaps.com/models/mercedes-benz-e-63-amg-s-t-modell,102.39,585,2092,Estate/wagon,2013.0,Germany,V8 Biturbo,5.5,7 gears automatic,front engine,rear wheel drive
Challenger SRT Hellcat Redeye,https://fastestlaps.com/models/dodge-challenger-srt-hellcat-redeye,102.7,808,2049,Coupe,2018.0,United States,Hellcat Hemi V8 with Demon supercharger,6.2,8 speed auto only,front engine,rear wheel drive
Jaguar XKR-S (550 PS),https://fastestlaps.com/models/jaguar-xkr-s,102.9,551,1843,Coupe,2011.0,United Kingdom,"V8, supercharged",5.0,6 speed automatic,front engine,rear wheel drive
BMW M3 (E92),https://fastestlaps.com/models/bmw-m3-e92,102.96,420,1628,Coupe,2007.0,Germany,"V8, 32v",4.0,6 speed. manual  or 7 speed double clutch (DKG),front engine,rear wheel drive
Audi RS5 (8T3 facelift),https://fastestlaps.com/models/audi-rs5-2012,102.97,450,1770,Coupe,2012.0,Germany,"V8 32v FSI, DOHC, 4 Valves per Cyl",4.2,7 speed S-tronic,front engine,all wheel drive
Ford Mustang Boss 302 LS,https://fastestlaps.com/models/ford-mustang-boss-302-ls,103.0,443,1652,Coupe,2012.0,United States,Naturally Aspirated V8,5.0,6-Speed Manual,front engine,rear wheel drive
Porsche Cayman S,https://fastestlaps.com/models/porsche-cayman-s-987-facelift,103.0,320,1420,Coupe,2008.0,Germany,Flat-6 n/a,3.5,6 speed manual or 7 speed PDK,middle engine,rear wheel drive
Aston Martin V12 Vantage,https://fastestlaps.com/models/aston-martin-v12-vantage,103.04,517,1702,Coupe,2009.0,United Kingdom,48 valve V12,6.0,6 speed manual,front engine,rear wheel drive
Lexus RC F,https://fastestlaps.com/models/lexus-rc-f,103.2,477,1821,Coupe,2014.0,Japan,v8,5.0,8 speed auto,front engine,rear wheel drive
BMW 1 Series M Coupe,https://fastestlaps.com/models/bmw-1-series-m-coupe,103.31,340,1514,Coupe,2011.0,Germany,inline6 24V DOHV Turbo,3.0,6 speed manual,front engine,rear wheel drive
Lexus LC 500,https://fastestlaps.com/models/lexus-lc500,103.4,477,1974,Coupe,2018.0,Japan,V8 32 valve DOHC,5.0,10 speed dual-clutch automatic,front engine,rear wheel drive
C 63 AMG Edition 507,https://fastestlaps.com/models/mercedes-benz-c-63-amg-edition-507,103.45,507,1756,4-door saloon,2013.0,Germany,V8,6.2,7-speed multi-clutch automatic (MCT),front engine,rear wheel drive
C 63 AMG Coupe Edition 507,https://fastestlaps.com/models/mercedes-benz-c-63-amg-coupe-edition-507,103.45,507,1774,Coupe,2013.0,Germany,"Naturally aspirated V8, DOHC, 32v",6.2,Speedshift MCT 7 speed,front engine,rear wheel drive
Alfa Romeo Stelvio QV,https://fastestlaps.com/models/alfa-romeo-stelvio,103.5,510,1931,SUV/truck,2017.0,Italy,Twin Turbo V6,2.9,Automatic Transmission,front engine,all wheel drive
Bentley Continental GT-3 R,https://fastestlaps.com/models/bentley-continental-gt-3-r,103.51,580,2195,Coupe,2014.0,United Kingdom,V8 Twin Turbo,4.0,8 speed auto,front engine,all wheel drive
Bentley Continental GT-3 R,https://fastestlaps.com/models/bentley-continental-gt-3-r,103.51,580,2195,Coupe,2014.0,United Kingdom,V8 Twin Turbo,4.0,8 speed auto,front engine,all wheel drive
Alfa Romeo 4C,https://fastestlaps.com/models/alfa-romeo-4c,103.78,240,1028,Coupe,2013.0,Italy,"Turbo 4-cylinder, DOHC, 16v",1.8,TCT twin dry clutch,middle engine,rear wheel drive
Cadillac CTS-V (Mk II),https://fastestlaps.com/models/cadillac-cts-v,103.9,564,1951,4-door saloon,2009.0,United States,V8 charger,6.2,6 speed automatic,front engine,rear wheel drive
Honda Civic Type R (FK8),https://fastestlaps.com/models/honda-civic-type-r-fk8,104.22,320,1405,Compact,2017.0,Japan,"Inline 4, turbo, DI, DOHC, 16 valves, VTEC, Dual-VTC",2.0,6 speed manual,front engine,front wheel drive
BMW i8,https://fastestlaps.com/models/bmw-i8,104.29,374,1519,Coupe,2013.0,Germany,Electric motor and Inline 3 turbo 12 valve DOHC,1.5,6 speed automatic,front engine,all wheel drive
Shelby GT500,https://fastestlaps.com/models/shelby-gt500-2010,104.3,547,1772,Coupe,2010.0,United States,V8,5.4,6,front engine,rear wheel drive
Shelby Cobra 427 S/C,https://fastestlaps.com/models/shelby-cobra-427-s-c-1966,104.46,431,1110,Convertible,1966.0,United States,Ford Big-Block FE 427,7.0,4 Speed Manual,front engine,rear wheel drive
Shelby GT500,https://fastestlaps.com/models/shelby-gt500,104.72,507,1787,Coupe,2006.0,United States,"V8, Supercharged, 32v",5.4,6,front engine,rear wheel drive
Shelby Mustang Cobra GT500KR,https://fastestlaps.com/models/shelby-mustang-cobra-gt500kr,104.72,540,1773,Coupe,2008.0,United States,V8,5.4,6,front engine,rear wheel drive
Porsche 911 Carrera,https://fastestlaps.com/models/porsche-911-carrera-997-997-facelift,105.0,345,1468,Coupe,2008.0,Germany,Flat 6 direct fuel injection,3.6,6 speed manual  or 7speed dual clutch (PDK),rear engine,rear wheel drive
Jaguar XFR (Mk I),https://fastestlaps.com/models/jaguar-xfr,105.37,510,1975,4-door saloon,2009.0,United Kingdom,V8,5.0,6 speed automatic,front engine,rear wheel drive
Chevrolet Camaro SS,https://fastestlaps.com/models/chevrolet-camaro-ss-2010,105.7,432,1773,Coupe,2010.0,United States,V8,6.2,6,front engine,rear wheel drive
Lotus Exige S,https://fastestlaps.com/models/lotus-exige-s,105.82,222,934,Coupe,2005.0,United Kingdom,4 cyl,1.8,6-Speed,middle engine,rear wheel drive
Toyota Supra RZ (Mk IV),https://fastestlaps.com/models/toyota-supra-rz,105.87,284,1640,Coupe,1994.0,Japan,"Inline 6, Twin Turbo, 24v",3.0,6,front engine,rear wheel drive
BMW 135i Coupe (E82),https://fastestlaps.com/models/bmw-135i-coupe,106.0,306,1522,Coupe,2007.0,Germany,"Inline 6, Twin Turbo, 24v",3.0,6 speed manual,front engine,rear wheel drive
Kia Stinger GT,https://fastestlaps.com/models/kia-stinger-gt,106.16,370,1852,4-door saloon,2017.0,South Korea,3.3 Litre V6 Twin Turbo,3.3,8 Speed Transmission,front engine,rear wheel drive
Nissan Nismo 370Z,https://fastestlaps.com/models/nissan-nismo-370z,106.5,355,1500,Coupe,2009.0,Japan,V6 24V DOHC n/a,3.7,6 Speed Manual,front engine,rear wheel drive
Bentley Continental GT Speed,https://fastestlaps.com/models/bentley-continental-gt-speed-2012,106.6,625,2336,Coupe,2012.0,United Kingdom,"W12, Twin-Turbo, 48v",6.0,8 speed ZF transmission,front engine,all wheel drive
Subaru WRX STI,https://fastestlaps.com/models/subaru-wrx-sti,107.16,309,1532,4-door saloon,2014.0,Japan,"Turbo Boxer-4, DOHC, 16v",2.5,6-speed manual,front engine,all wheel drive
Porsche Cayman S (987),https://fastestlaps.com/models/porsche-cayman-s,107.58,295,1409,Coupe,2005.0,Germany,B6,3.4,6 speed,rear engine,rear wheel drive
Mitsubishi Lancer Evo X MR,https://fastestlaps.com/models/mitsubishi-lancer-evo-x-mr,107.71,295,1605,4-door saloon,2008.0,Japan,inline 4 turbo 16V DOHC,2.0,5 speed manual,front engine,all wheel drive
Chevrolet Cobalt SS/TC,https://fastestlaps.com/models/chevrolet-cobalt-ss-tc,107.75,264,1352,Compact,2008.0,United States,"Inline 4, Turbocharged",2.0,5,front engine,front wheel drive
Mitsubishi Lancer EVO IX,https://fastestlaps.com/models/mitsubishi-lancer-evo-ix,107.93,290,1481,4-door saloon,2005.0,Japan,"Inline 4, Turbocharged",2.0,6,front engine,all wheel drive
Mazda MX-5 2.0 (Mk IV 184 PS),https://fastestlaps.com/models/mazda-mx-5-2-0,108.47,184,1067,Convertible,2018.0,Japan,"Inline 4, n/a, DI, 16 valves, DOHC, DVVT",2.0,6 speed manual,front engine,rear wheel drive
BMW 335i Coupe,https://fastestlaps.com/models/bmw-335i-coupe,109.04,306,1610,Coupe,2006.0,Germany,twin turbo R6,3.0,6 speed,front engine,rear wheel drive
Porsche 911 Carrera S (997),https://fastestlaps.com/models/porsche-911-carrera-s,110.0,355,1470,Coupe,2004.0,Germany,"B6, 24 valve",3.8,6 speed manual,rear engine,rear wheel drive
VW Golf GTI (Mk VII 220 PS),https://fastestlaps.com/models/vw-golf-gti-mk-vii-220-ps,110.11,220,1372,Compact,2013.0,Germany,"4-cylinder-in-line, turbo",2.0,"6-speed-manual, 6-speed-DSG",front engine,front wheel drive
Porsche Boxster (986 220 PS),https://fastestlaps.com/models/porsche-boxster-986-220-ps,110.21,220,1353,Convertible,2000.0,Germany,Flat 6 24 valve,2.7,5 speed manual,middle engine,rear wheel drive
Mazda 3 MPS,https://fastestlaps.com/models/mazda-3-mps,110.37,260,1450,Compact,2006.0,Japan,4cyl Turbo,2.3,6,front engine,front wheel drive
Mazda RX-8,https://fastestlaps.com/models/mazda-rx-8,110.42,231,1386,Coupe,2002.0,Japan,Renesis R2,1.3,6 speed,front engine,rear wheel drive
Mazda MX-5 2.0 (Mk IV),https://fastestlaps.com/models/mazda-mx-5-2015,110.68,157,1061,Convertible,2015.0,Japan,I-4,2.0,6-Speed Manual,front engine,rear wheel drive
Honda S2000 (AP1),https://fastestlaps.com/models/honda-s2000,110.74,239,1265,Convertible,1999.0,Japan,"Inline 4, 16v",2.0,6 speed,front engine,rear wheel drive
BMW Z3 3.0i,https://fastestlaps.com/models/bmw-z3-3-0i,110.8,231,1330,Convertible,2000.0,Germany,"Inline 6, 24v",3.0,5,front engine,rear wheel drive
Ford Fiesta ST,https://fastestlaps.com/models/ford-fiesta-st-2013,111.25,180,1212,Compact,2013.0,Germany,"I4, turbocharged with VCT",1.6,6 speed manual with torque vectoring,front engine,front wheel drive
Subaru BRZ,https://fastestlaps.com/models/subaru-brz,111.3,200,1251,Coupe,2012.0,Japan,Flat-4,2.0,6-speed MT or 6-speed AT,front engine,rear wheel drive
Mini Cooper S Works GP Kit,https://fastestlaps.com/models/mini-mini-cooper-s-works-gp-kit,111.73,218,1180,Compact,2006.0,United Kingdom,4cyl charger,1.6,6,front engine,front wheel drive
Porsche 911 Carrera (997),https://fastestlaps.com/models/porsche-911-carrera-997,111.8,325,1449,Coupe,2004.0,Germany,"B6, 24 valve",3.6,6 speed manual or Tiptronic,rear engine,rear wheel drive
Mini Cooper S (Mk II),https://fastestlaps.com/models/mini-cooper-s-mk-ii,111.98,174,1207,Compact,2006.0,United Kingdom,"Inline 4, Turbocharged, 16v",1.6,6 speed manual,front engine,front wheel drive
Aston Martin V8 Vantage,https://fastestlaps.com/models/aston-martin-v8-vantage,112.2,385,1633,Coupe,2005.0,United Kingdom,V8,4.3,6 speed manual,front engine,rear wheel drive
Mazda MX-5 Grand Touring,https://fastestlaps.com/models/mazda-mx-5-grand-touring,112.2,169,1150,Convertible,2009.0,Japan,DOHC 16-valve 4-cylinder engine with variable valve timing (VVT),2.0,6 manual,front engine,rear wheel drive
Cadillac CTS-V (MK I),https://fastestlaps.com/models/cadillac-cts-v-mk-i,113.0,406,1738,4-door saloon,2005.0,United States,PushRod 16-Valve LS6 V8,5.7,6 Speed Manaual,front engine,rear wheel drive
Chevrolet Corvette C5 Z06,https://fastestlaps.com/models/chevrolet-corvette-c5-z06,113.73,411,1418,Coupe,2003.0,United States,V8 n/a,5.7,6,front engine,rear wheel drive
Porsche 911 Carrera,https://fastestlaps.com/models/porsche-911-carrera-996-996-facelift,114.22,320,1414,Coupe,2001.0,Germany,"Boxer 6, 24v",3.6,6,rear engine,rear wheel drive
BMW M4 Convertible,https://fastestlaps.com/models/bmw-m4-convertible,114.23,431,1846,Convertible,2014.0,Germany,"Straight 6  4 valves / cylinder, DOHC, Variable Valve Timing",3.0,6 speed Manual,front engine,rear wheel drive
Honda NSX-R (facelift),https://fastestlaps.com/models/honda-nsx-r,114.74,294,1270,Coupe,2002.0,Japan,V6,3.2,6 speed,middle engine,rear wheel drive
Honda Civic SI,https://fastestlaps.com/models/honda-civic-si,114.99,197,1330,Compact,2006.0,Japan,"Inline 4, 16v",2.0,6,front engine,front wheel drive
Honda NSX (facelift),https://fastestlaps.com/models/honda-nsx,117.0,290,1368,Coupe,2004.0,Japan,V6,3.2,6,middle engine,rear wheel drive
Porsche Boxster S (981),https://fastestlaps.com/models/porsche-boxster-s-981,119.01,315,1400,Convertible,2012.0,Germany,boxer/6,3.4,6-speed-manual / 7-speed-PDK,middle engine,rear wheel drive
Chevrolet Camaro Z28,https://fastestlaps.com/models/chevrolet-camaro-z28-82,125.8,193,1448,Coupe,1982.0,United States,305ci V8,5.0,5,front engine,rear wheel drive
Ford Mustang GT,https://fastestlaps.com/models/ford-mustang-gt-1982,129.9,159,1422,Coupe,1982.0,United States,5.0 V8,5.0,5,front engine,rear wheel drive
Kia Soul Sport 2.0,https://fastestlaps.com/models/kia-soul-sport-2-0,132.67,144,1320,Compact,2010.0,South Korea,L4 DOHC 16V CVVT,2.0,5 Manual,front engine,front wheel drive
